sat	hs.perc	hs.size	gpa
920	60.0	.1	2.04
1170	79.68085	9.4	4
810	64.70588	1.19	1.78
940	55.8669	5.71	2.42
1180	59.81308	2.14	2.61
980	84.70149	2.68	3.03
880	48.23151	3.11	1.84
980	62.31343	2.68	3.05
1240	56.13079	3.67	3
1230	70.0	.1	2
1140	71.55689	3.34	2.98
1150	96.37883	3.59	2.93
1080	90.251573	3.18	2
990	73.4375	1.92	2.21
1000	92.140922	3.69	3.33
1050	49.62406	2.66	1.07
1160	31.72414	1.45	2.29
1190	57.95454	1.76	3.15
1030	79.01554	3.86	2.65
960	82.76762	3.83	2.41
840	93.457944	1.07	2.39
920	70.04608	2.17	2.64
840	39.74359	2.34	2.18
1000	71.2743	4.63	2.84
1150	49.41177	5.95	2.84
1040	67.03297	.91	2.93
970	90.596331	4.36	2.29
1200	74.26108	8.12	2.38
1090	96.666667	.6	3.92
1340	65.42553	3.76	2.23
740	26.69173	5.32	1.33
880	81.31579	3.8	2.81
820	32.01755	2.28	2.09
1060	54.99092	5.51	2.25
730	43.361	4.82	1.9
820	73.84615	3.9	3
780	78.20513	.78	2.4
1040	81.30081	4.92	2.16
870	53.76344	1.86	2.07
940	77.83784	1.85	2.21
980	70.39474	1.52	2
1020	80.0	.1	2.91
1180	59.9686	6.37	3
1100	83.33333	.12	2.72
1030	89.28571	2.52	3.55
960	50.0	.1	3.25
910	77.95275	1.27	2.86
1060	92.307693	.13	2.04
880	66.66667	.03	1.92
1010	92.857143	.28	3.58
700	31.25	.32	2.39
930	81.98925	3.72	3.46
900	72.83465	2.54	3.16
1090	40.09901	2.02	1.03
1120	83.40425	4.7	3
960	28.41164	4.47	2.33
890	59.67742	1.24	2.45
1240	94.227188	5.37	3.65
1090	86.26374	3.64	3.61
820	89.27445	6.34	3.25
940	84.50292	3.42	3.81
820	39.75482	5.71	2.25
970	85.33569	5.66	2.41
790	87.9397	5.97	2.82
1080	30.0	.1	2.3
850	82.58064	3.1	3.27
850	93.150685	.73	2.66
820	25.19084	1.31	2.26
1120	95.901639	4.88	2.33
880	82.80098	4.07	2.37
1540	99.5652174	2.3	4
780	89.04899	3.47	3.81
1280	98.522167	2.03	3.87
1260	97.695853	2.17	4
830	58.0	2	1.95
980	69.56522	.92	2.43
500	28.00875	4.57	1.21
1040	91.412743	3.61	3
930	92.0	3.25	1.75
570	42.28395	3.24	1.73
820	51.48515	3.03	1.84
1310	73.8758	4.67	2.25
770	70.0	1	2.13
1180	90.0	4.8	3.77
1310	90.625	3.2	3.22
1150	78.80795	3.02	2.17
1130	80.12048	1.66	2.77
1110	95.588235	2.04	3.36
1210	95.221843	2.93	3.62
1090	96.791444	1.87	3.7
1040	76.90141	3.55	2
1340	86.48649	1.11	3.69
900	81.39535	.86	1.75
650	72.3301	2.06	2.19
1190	93.867925	4.24	3.4
990	84.46215	2.51	1.43
1160	78.76344	3.72	2.78
1140	90.041493	2.41	2.61
1180	92.324094	4.69	3.09
1120	90.0	.1	2.83
1010	50.7837	3.19	1.93
1160	96.268657	4.02	2.88
1200	51.62037	4.32	3.31
720	46.51163	4.3	1.93
1190	62.83525	2.61	2.41
970	65.9824	3.41	2.92
1210	99.8043053	5.11	3.52
930	67.5	2	2.93
1000	68.22034	2.36	2.28
970	69.97691	4.33	1.95
960	70.0	.1	3.02
980	60.0	.1	3.25
960	57.52213	2.26	3.32
970	70.0	.1	2.03
960	90.540541	.74	2.34
1160	91.037736	2.12	3.41
1080	52.83019	2.12	2.56
990	99.0163934	3.05	4
1130	61.2766	2.35	1.33
1060	71.91489	2.35	2.25
1060	81.2766	2.35	2.6
1120	94.915254	2.95	2.63
1030	78.77698	2.78	2.58
1070	68.57143	3.15	3.04
910	77.15054	3.72	2.76
1100	49.59785	3.73	1.95
